,popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_BLACKPINK,artist_BTS,artist_ENHYPEN,artist_ITZY,artist_IU,artist_JEON SOMI,artist_MAMAMOO,artist_Others,artist_Red Velvet,artist_SEVENTEEN,artist_Stray Kids,artist_TOMORROW X TOGETHER,artist_TWICE,artist_aespa,artist_j-hope
89,71,217.404,0,0.643,0.667,0,-6.947,0,0.151,0.0432,0.0,0.0904,0.478,145.999,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,78,178.453,0,0.709,0.809,2,-3.198,0,0.0541,0.312,0.0,0.0899,0.788,111.01,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,75,223.535,0,0.508,0.842,1,-3.992,1,0.0612,0.078,0.0,0.0858,0.44,86.041,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,72,250.295,0,0.56,0.547,1,-6.456,1,0.0675,0.0806,0.0,0.11,0.199,157.962,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,71,199.338,0,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,71,192.346,0,0.659,0.718,7,-5.607,0,0.0507,0.202,1.01e-06,0.2,0.297,136.96,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,72,234.457,0,0.674,0.641,0,-5.139,0,0.0339,0.149,0.0,0.0925,0.664,99.91,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,71,209.648,0,0.806,0.707,7,-4.623,1,0.0307,0.331,0.0,0.294,0.746,118.009,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,74,189.906,0,0.707,0.74,11,-4.311,0,0.0509,0.179,0.0,0.612,0.336,127.974,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,77,216.12,0,0.626,0.623,6,-5.718,0,0.0653,0.0559,0.0,0.199,0.123,140.209,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,79,178.453,0,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,74,191.242,0,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,66,161.945,0,0.805,0.66,4,-5.342,1,0.0582,0.0367,6.4e-05,0.215,0.617,114.954,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,71,235.779,0,0.856,0.617,10,-5.308,0,0.084,0.171,0.0,0.0857,0.759,136.081,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,67,223.122,0,0.599,0.775,1,-3.997,0,0.0542,0.022,0.0,0.0669,0.703,129.817,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,75,193.26,0,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,75,199.919,0,0.644,0.867,11,-4.18,0,0.0383,0.001,0.0,0.105,0.687,124.997,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,66,229.201,0,0.527,0.462,5,-5.504,1,0.0494,0.227,0.0,0.164,0.334,144.573,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,78,179.453,0,0.935,0.849,7,-3.047,1,0.0779,0.0192,0.0,0.0223,0.551,119.986,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,75,180.36,0,0.621,0.816,11,-5.242,1,0.104,0.0966,0.0,0.134,0.694,163.966,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,69,209.157,0,0.36,0.565,7,-4.898,1,0.0608,0.358,0.0,0.0448,0.311,173.281,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,77,196.54,0,0.779,0.801,6,-5.564,0,0.0457,0.395,0.0,0.108,0.72,139.998,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,73,209.105,0,0.71,0.82,3,-4.362,0,0.0836,0.00962,0.0,0.0871,0.746,112.005,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,82,165.746,0,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,74,202.203,0,0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,75,208.573,0,0.721,0.856,0,-3.117,0,0.301,0.229,0.0,0.0853,0.627,142.068,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,74,180.022,0,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,71,205.373,0,0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,76,213.88,0,0.697,0.874,5,-2.15,0,0.0449,0.0122,0.0,0.627,0.775,132.018,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,69,227.583,0,0.416,0.41,10,-6.146,1,0.0292,0.843,0.0,0.107,0.219,110.252,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,68,231.642,0,0.545,0.468,7,-6.064,1,0.0247,0.637,0.0,0.128,0.279,76.045,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,70,238.861,0,0.461,0.776,6,-4.498,1,0.0565,0.0149,0.0,0.12,0.291,149.985,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,67,222.025,0,0.439,0.352,0,-9.632,1,0.057,0.587,0.0,0.14,0.548,181.517,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,66,201.081,0,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.0,0.138,0.409,129.815,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,74,195.146,0,0.744,0.923,7,-2.797,1,0.0507,0.115,0.0,0.065,0.522,96.005,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,73,189.286,0,0.82,0.842,7,-3.853,1,0.272,0.157,0.0,0.112,0.653,107.952,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,70,236.748,0,0.554,0.878,11,-3.02,0,0.0513,0.00146,0.0,0.0998,0.55,132.896,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
